22348040_4|22348040|85|#section_info|373:482|The eight ZmPMP3s were membrane proteins and their sequences in trans-membrane regions were highly conserved.|#main_body|GO:0016020|membrane|#go_definition|NONE|GOA|PMP3s(nac1;pmpm2;pmpm3;pmpm4;pmpm5;pmpm6;pmpm7)|#gene_synonym
0.44	22348040_303|22348040|48834|Materials and Methods|0:0|The YR93-1 strain is sensitive to salt comparing with the wild type YR93, because the deletion of both plasma membrane Na+/H+-antiporter (NHA1) and Na+-ATPase (PMR2) leads to the disruption of these high affinity Na+ efflux system [16].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.44	22348040_406|22348040|60808|Supporting Information|0:0|Overexpression of plasma membrane protein Na+/H+ antiporter gene improves salt tolerance in Arabidopsis thaliana.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.43	22348040_28|22348040|5067|Introduction|0:0|Plasma membrane protein 3 (PMP3), a class of small molecular weight hydrophobic proteins in higher plants, responds to various stresses, such as low temperature, salt and dehydration.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.43	22348040_391|22348040|59278|Supporting Information|0:0|Over-expression of a cold-induced plasma membrane protein gene (MpRCI) from plantain enhances low temperature-resistance in transgenic tobacco.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.39	22348040_356|22348040|55696|Supporting Information|0:0|Sodium fluxes through nonselective cation channels in the plant plasma membrane of protoplasts from Arabidopsis roots.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.37	22348040_258|22348040|42963|Discussion|0:0|ossibly, these genes share a common function of cell membrane depolarization, and consequently maintain intercellular ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.37	22348040_335|22348040|53138|Materials and Methods|0:0|Plant cell membrane stability (CMS) was determined with a conductivity meter (DDS-1, YSI) and formula CMS (%) = (1-initial electrical conductivity/electrical conductivity after boiling)x100.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.37	22348040_372|22348040|57491|Supporting Information|0:0|A stress-inducible plasma membrane protein 3 (AcPMP3) in a monocotyledonous halophyte, Aneurolepidium chinense, regulates cellular Na+ and K+ accumulation under salt stress.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.35	22348040_361|22348040|56199|Supporting Information|0:0|The putative plasma membrane Na+/H+ antiporter SOS1 controls long-distance Na+ transport in plants.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.34	22348040_373|22348040|57665|Supporting Information|0:0|Characterization of two plasma membrane protein 3 genes (PutPMP3) from the alkali grass, Puccinellia tenuiflora, and functional comparison of the rice homologues, OsLti6a/b from rice.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.33	22348040_399|22348040|59975|Supporting Information|0:0|NSC1: a novel high-current inward rectifier for cations in the plasma membrane of Saccharomyces cerevisiae.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.26	22348040_390|22348040|59182|Supporting Information|0:0|The use of cell membrane stability (CMS) technique to screen for salt tolerant wheat varieties.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_13|22348040|12321|#section_info|771:969|In these cells, the fluorescence was still detected in regions corresponding to the distorted plasma membrane (Figure 2B, C, S2A, and S2B), suggesting that the eight proteins were membrane proteins.|#main_body|GO:0005886|plasma membrane|#go_definition|IDA|GOA|PMP3s(nac1;pmpm2;pmpm3;pmpm4;pmpm5;pmpm6;pmpm7)|#gene_synonym
0.59	22348040_54|22348040|9513|Results|0:0|Comparison of ZmPMP3s and plasma membrane protein 3 related proteins.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.57	22348040_80|22348040|12321|Results|0:0|All of eight ZmPMP3-GFP fusion proteins showed GFP signals in the peripheral layer of cells, a location of which may correspond to either cell wall or plasma membrane.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.55	22348040_24|22348040|3409|Introduction|0:0|As a plasma membrane Na+/H+-antiporter, SOS1 is an important tolerance determinant involved in the exclusion of sodium ions from cells [9], [10].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.53	22348040_31|22348040|5067|Introduction|0:0|The PMP3 protein (Pmp3p) was also identified in yeast (Saccharomyces cerevisiae), which functions in the maintenance of plasma membrane potential.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.52	22348040_303|22348040|48834|Materials and Methods|0:0|The YR93-1 strain is sensitive to salt comparing with the wild type YR93, because the deletion of both plasma membrane Na+/H+-antiporter (NHA1) and Na+-ATPase (PMR2) leads to the disruption of these high affinity Na+ efflux system [16].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.5	22348040_279|22348040|45940|Materials and Methods|0:0|Based on an EST homologous to the plasma membrane protein 3 (Pmp3p) which was obtained from a previously constructed cDNA library [60], the specific full-length primers were designed as follows: F,  and R, .|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.49	22348040_367|22348040|56832|Supporting Information|0:0|Membrane hyperpolarization and salt sensitivity induced by deletion of PMP3, a highly conserved small protein of yeast plasma membrane.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.45	22348040_28|22348040|5067|Introduction|0:0|Plasma membrane protein 3 (PMP3), a class of small molecular weight hydrophobic proteins in higher plants, responds to various stresses, such as low temperature, salt and dehydration.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.44	22348040_117|22348040|17950|Results|0:0|Deletion of PMP3 in yeast causes the hyperpolarization of cell membrane and consequently disrupted ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.39	22348040_258|22348040|42963|Discussion|0:0|ossibly, these genes share a common function of cell membrane depolarization, and consequently maintain intercellular ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.38	22348040_391|22348040|59278|Supporting Information|0:0|Over-expression of a cold-induced plasma membrane protein gene (MpRCI) from plantain enhances low temperature-resistance in transgenic tobacco.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.38	22348040_399|22348040|59975|Supporting Information|0:0|NSC1: a novel high-current inward rectifier for cations in the plasma membrane of Saccharomyces cerevisiae.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.38	22348040_406|22348040|60808|Supporting Information|0:0|Overexpression of plasma membrane protein Na+/H+ antiporter gene improves salt tolerance in Arabidopsis thaliana.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.36	22348040_335|22348040|53138|Materials and Methods|0:0|Plant cell membrane stability (CMS) was determined with a conductivity meter (DDS-1, YSI) and formula CMS (%) = (1-initial electrical conductivity/electrical conductivity after boiling)x100.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.34	22348040_361|22348040|56199|Supporting Information|0:0|The putative plasma membrane Na+/H+ antiporter SOS1 controls long-distance Na+ transport in plants.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.33	22348040_356|22348040|55696|Supporting Information|0:0|Sodium fluxes through nonselective cation channels in the plant plasma membrane of protoplasts from Arabidopsis roots.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.33	22348040_372|22348040|57491|Supporting Information|0:0|A stress-inducible plasma membrane protein 3 (AcPMP3) in a monocotyledonous halophyte, Aneurolepidium chinense, regulates cellular Na+ and K+ accumulation under salt stress.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.33	22348040_373|22348040|57665|Supporting Information|0:0|Characterization of two plasma membrane protein 3 genes (PutPMP3) from the alkali grass, Puccinellia tenuiflora, and functional comparison of the rice homologues, OsLti6a/b from rice.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.26	22348040_390|22348040|59182|Supporting Information|0:0|The use of cell membrane stability (CMS) technique to screen for salt tolerant wheat varieties.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_28|22348040|15129|#section_info|54:235|The ZmPMP3-1 and ZmPMP3-2 transcripts in shoot and root were accumulated gradually under cold stress, while ZmPMP3-4 and ZmPMP3-6 were induced rapidly at 0.5 h or 1 h and then fell.|#main_body|GO:0009409|response to cold|#go_definition|IEP|GOA|PMP3-1(100135422)|#gene_synonym
0.44	22348040_224|22348040|33936|Discussion|0:0|Only four genes were responsive to cold stress.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_47|22348040|18709|#section_info|0:203$$730:907|Both 10-fold dilution dot experiment and dose-response curves demonstrated that the expression of the ZmPMP3 genes could suppress the sensitivity of mutant strains to the Na+ and hygromycin B (Figure 5). These results suggested that the ZmPMP3s abolished the hyperpolarization of cell membrane resulting from PMP3 deletion and consequently maintained intracellular ion homeostasis.|#main_body|GO:0050801|ion homeostasis|#go_definition|IDA|GOA|PMP3s(nac1;pmpm2;pmpm3;pmpm4;pmpm5;pmpm6;pmpm7)|#gene_synonym
0.69	22348040_117|22348040|17950|Results|0:0|Deletion of PMP3 in yeast causes the hyperpolarization of cell membrane and consequently disrupted ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	22348040_258|22348040|42963|Discussion|0:0|ossibly, these genes share a common function of cell membrane depolarization, and consequently maintain intercellular ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.58	22348040_304|22348040|48834|Materials and Methods|0:0|To examine the relationship between maintaining ion homeostasis and the function of ZmPMP3 genes, the ORFs of the ZmPMP3 genes were cloned into the pAUR123 vector (Takara, Japan) driven by the ADH1 promoter.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.56	22348040_38|22348040|5067|Introduction|0:0|These reports indicate that PMP3 homologues participate in maintaining intracellular ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.55	22348040_23|22348040|3409|Introduction|0:0|Previous studies also revealed that there are several ion transporters that play important roles in retrieving intracellular ion homeostasis under saline conditions.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.53	22348040_9|22348040|2155|Introduction|0:0|However, under salt stress, Na+ accumulates extremely in cells and consequently disrupts ion homeostasis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.53	22348040_230|22348040|36252|Discussion|0:0|ZmPMP3s have a common function of maintaining ion homeostasis and this process is not dependent on the presence of Ca2+|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.49	22348040_11|22348040|2599|Introduction|0:0|There are two kinds of mechanisms for plants to maintain ion homeostasis under salt stress.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.48	22348040_7|22348040|2155|Introduction|0:0|Ion homeostasis is fundamental to physiological processes of living cells.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.41	22348040_386|22348040|58991|Supporting Information|0:0|Ion homeostasis and apoptosis.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.4	22348040_360|22348040|56150|Supporting Information|0:0|Regulation of ion homeostasis under salt stress.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_55|22348040|29682|#section_info|821:978|The up-regulation of these genes in the transgenic plants suggested that over-expressing ZmPMP3-1 affected the expression of the ion transport-related genes.|#main_body|GO:0006811|ion transport|#go_definition|IEP|GOA|PMP3-1(100135422)|#gene_synonym
0.74	22348040_201|22348040|29572|Results|0:0|Expression patterns of stress- and ion transporter-related genes in ZmPMP3-1 over-expressed transgenic plants|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.46	22348040_23|22348040|3409|Introduction|0:0|Previous studies also revealed that there are several ion transporters that play important roles in retrieving intracellular ion homeostasis under saline conditions.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.43	22348040_357|22348040|55815|Supporting Information|0:0|Arabidopsis thaliana cyclic nucleotide gated channel 3 forms a nonselective ion transporter involved in germination and cation transport.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.38	22348040_39|22348040|5067|Introduction|0:0|However, due to the small size of these polypeptides, they are likely not ion transporters [22].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.36	22348040_412|22348040|61513|Supporting Information|0:0|Electrocoupling of ion transporters in plants.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.35	22348040_17|22348040|3409|Introduction|0:0|Recently, some factors responsible for ion transport, such as nonselective cation channels (NSCCs), ion transporters and membrane-potential modulators, have been characterized.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_60|22348040|33936|#section_info|517:730|The rapid and transient rise of the transcripts of ZmPMP3-1, ZmPMP3-5 and ZmPMP3-6 suggested that these ZmPMP3s mediate an early protection against sudden abiotic stresses before an overall and permanent adaption.|#main_body|GO:0009628|response to abiotic stimulus|#go_definition|IEP|GOA|PMP3-1(100135422)|#gene_synonym
0.44	22348040_233|22348040|37592|Discussion|0:0|All of these pathways are linked to the downstream cell response to abiotic stresses.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.41	22348040_215|22348040|32797|Discussion|0:0|ZmPMP3 genes are conserved in sequence, but different in responses to abiotic stresses|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_63|22348040|33936|#section_info|731:901|The stronger inductions of ZmPMP3-5 and ZmPMP3-6 were observed only in root, indicating their organ specific expression in response to abiotic stresses at seedling stage.|#main_body|GO:0009628|response to abiotic stimulus|#go_definition|IEP|GOA|PMP3-5(pmpm5)|#gene_synonym
0.58	22348040_215|22348040|32797|Discussion|0:0|ZmPMP3 genes are conserved in sequence, but different in responses to abiotic stresses|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.52	22348040_233|22348040|37592|Discussion|0:0|All of these pathways are linked to the downstream cell response to abiotic stresses.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
22348040_72|22348040|42963|#section_info|0:58$$275:385|The present study identified eight ZmPMP3 genes in maize.  These eight genes were responsive to abiotic stresses differently, and accumulated mainly in different organs.|#main_body|GO:0009628|response to abiotic stimulus|#go_definition|IEP|GOA|PMP3 genes(3760032)|#gene_synonym
0.65	22348040_215|22348040|32797|Discussion|0:0|ZmPMP3 genes are conserved in sequence, but different in responses to abiotic stresses|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.55	22348040_233|22348040|37592|Discussion|0:0|All of these pathways are linked to the downstream cell response to abiotic stresses.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
