17908240_1|17908240|125|#section_info|0:0|we have found that the reduction in M1 mACh receptor responsiveness is decreased in quiescent |#main_body|GO:0071213|cellular response to 1-aminocyclopropane-1-carboxylic acid|#go_definition|IEP|GOA|Mch1|#gene_synonym
17908240_14|17908240|28207|#section_info|0:0|To determine whether synaptic activity alone could promote eGFP-MARCKS translocation, neurons were incubated with picrotoxin in the absence of agonist for 2 min. Picrotoxin (100 mumol/L) stimulated a rapid increase in eGFP-MARCKS translocation to the cytoplasm,|#main_body|GO:1900740|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|#go_definition|IDA|GOA|Chrm1(25229)|#gene_synonym
17908240_15|17908240|33610|#section_info|0:0|This protocol produced robust, reversible MCh-stimulated membrane recruitments of eGFP-PKCepsilon, which mirror data obtained with the eGFP-PHPLCdelta biosensor, suggesting that translocation of this probe is driven by changes in the concentration of DAG in the plasma membrane (Fig. 8a).|#main_body|GO:1900485|positive regulation of protein targeting to vacuolar membrane|#go_definition|IDA|GOA|Chrm1(25229)|#gene_synonym
17908240_16|17908240|33610|#section_info|0:0|This protocol produced robust, reversible MCh-stimulated membrane recruitments of eGFP-PKCepsilon, which mirror data obtained with the eGFP-PHPLCdelta biosensor, suggesting that translocation of this probe is driven by changes in the concentration of DAG in the plasma membrane (Fig. 8a).|#main_body|GO:1900740|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|#go_definition|IDA|GOA|Chrm1(25229)|#gene_synonym
17908240_17|17908240|37977|#section_info|0:0|Recent studies from this laboratory have provided strong evidence that endogenous GRK2 and GRK6 can regulate the responsiveness of M1 mACh receptor signalling in cultured rat hippocampal neurons (Willets et al. 2004, 2005).|#main_body|GO:0038041|cross-receptor inhibition within G protein-coupled receptor heterodimer|#go_definition|TAS|GOA|Grk6(59076)|#gene_synonym
17908240_18|17908240|37977|#section_info|0:0|Recent studies from this laboratory have provided strong evidence that endogenous GRK2 and GRK6 can regulate the responsiveness of M1 mACh receptor signalling in cultured rat hippocampal neurons (Willets et al. 2004, 2005).|#main_body|GO:0045745|positive regulation of G protein-coupled receptor signaling pathway|#go_definition|TAS|GOA|Adrbk1(25238)|#gene_synonym
17908240_19|17908240|37977|#section_info|0:0|In particular, we have established that GRK2 can suppress neuronal M1 mACh receptor signalling by both phosphorylation-dependent and -independent mechanisms with the latter probably involving the direct binding of the RH domain of GRK2 to Galphaq/11 (Willets et al. 2005).|#main_body|GO:1900257|negative regulation of beta1-adrenergic receptor activity|#go_definition|TAS|GOA|Adrbk1(25238)|#gene_synonym
17908240_20|17908240|37977|#section_info|0:0|Furthermore, enhanced synaptic activity in hippocampal neurons, initiated by suppression of inhibitory GABAA receptors with picrotoxin, dramatically enhances M1 mACh receptor-stimulated IP3 production and Ca2+ store release (Nash et al. 2004).|#main_body|GO:0032957|inositol trisphosphate metabolic process|#go_definition|TAS|GOA|Chrm1(25229)|#gene_synonym
17908240_21|17908240|37977|#section_info|0:0|Furthermore, enhanced synaptic activity in hippocampal neurons, initiated by suppression of inhibitory GABAA receptors with picrotoxin, dramatically enhances M1 mACh receptor-stimulated IP3 production and Ca2+ store release (Nash et al. 2004).|#main_body|GO:0051560|mitochondrial calcium ion homeostasis|#go_definition|TAS|GOA|Chrm1(25229)|#gene_synonym
17908240_22|17908240|37977|#section_info|0:0|Recent studies from this laboratory have provided strong evidence that endogenous GRK2 and GRK6 can regulate the responsiveness of M1 mACh receptor signalling in cultured rat hippocampal neurons (Willets et al. 2004, 2005).|#main_body|GO:1900736|regulation of phospholipase C-activating G protein-coupled receptor signaling pathway|#go_definition|TAS|GOA|Grk6(59076)|#gene_synonym
17908240_23|17908240|37977|#section_info|0:0|Recent studies from this laboratory have provided strong evidence that endogenous GRK2 and GRK6 can regulate the responsiveness of M1 mACh receptor signalling in cultured rat hippocampal neurons (Willets et al. 2004, 2005).|#main_body|GO:0045744|negative regulation of G protein-coupled receptor signaling pathway|#go_definition|TAS|GOA|Adrbk1(25238)|#gene_synonym
17908240_24|17908240|40034|#section_info|0:0|Furthermore, a combined action of GRK2 and Ca2+-dependent PKC(s) is indicated in the enhanced desensitization of M1 mACh receptor signalling observed in such synaptically active hippocampal neuronal cultures.|#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|NONE|GOA|Adrbk1(25238)|#gene_synonym
17908240_25|17908240|40034|#section_info|0:0|There is now much evidence that GRK2 can suppress a receptor-mediated Galphaq/11 activation in a phosphorylation-independent manner through a specific interaction of GTP-loaded Galphaq/11 with the RH domain located at the N-terminal of GRK2 (Carman et al. 1999; Sterne-Marr et al. 2003; Tesmer et al. 2005; Willets et al. 2005).|#main_body|GO:0110062|negative regulation of angiotensin-activated signaling pathway|#go_definition|TAS|GOA|Adrbk1(25238)|#gene_synonym
17908240_26|17908240|40034|#section_info|0:0|In hippocampal neurons over-expression of GRK2, or its kinase-dead mutant form, completely suppresses M1 mACh receptor-stimulated PLC signalling (Willets et al. 2004). However, data obtained by expressing a dominant-negative GRK2 construct that also possesses a mutation (D110A) in the RH domain (preventing binding to GTP-loaded Galphaq/11), suggest that the phosphorylation-dependent activity of endogenous GRK2 is required for M1 mACh receptor desensitization in synaptically-active hippocampal neurons (Willets et al. 2005).|#main_body|GO:1900737|negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway|#go_definition|TAS|GOA|Adrbk1(25238)|#gene_synonym
17908240_27|17908240|41645|#section_info|0:0|The enhanced and prolonged desensitization of M1 mACh receptor signalling observed in picrotoxin- and agonist-treated cultures appears to depend on both GRK2 and PKC activities, as expression of the dominant-negative D110A,K220RGRK2 construct only partially ameliorated agonist-induced receptor desensitization and further amelioration was observed in the presence of either a PKC inhibitor, or following phorbol ester-induced down-regulation of PKC activities.|#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|NONE|GOA|Adrbk1(25238)|#gene_synonym
17908240_28|17908240|41645|#section_info|0:0|The enhanced and prolonged desensitization of M1 mACh receptor signalling observed in picrotoxin- and agonist-treated cultures appears to depend on both GRK2 and PKC activities, as expression of the dominant-negative D110A,K220RGRK2 construct only partially ameliorated agonist-induced receptor desensitization and further amelioration was observed in the presence of either a PKC inhibitor, or following phorbol ester-induced down-regulation of PKC activities.|#main_body|GO:0002032|desensitization of G protein-coupled receptor signaling pathway by arrestin|#go_definition|NONE|GOA|Grk6(59076)|#gene_synonym
17908240_29|17908240|41645|#section_info|0:0|Moreover, our studies, using the translocation of eGFP-MARCKS have provided evidence for the activation of PKC in hippocampal neurons following M1 mACh receptor stimulation under conditions of increased synaptic activity.|#main_body|GO:1904053|positive regulation of protein targeting to vacuole involved in autophagy|#go_definition|NONE|GOA|Chrm1(25229)|#gene_synonym
17908240_30|17908240|41645|#section_info|0:0|Here we provide evidence that the translocation of eGFP-MARCKS stimulated by MCh is predominantly dependent on PKC activity,|#main_body|GO:1903955|positive regulation of protein targeting to mitochondrion|#go_definition|NONE|GOA|Chrm1(25229)|#gene_synonym
17908240_31|17908240|41645|#section_info|0:0|Indeed, MARCKS translocation in response to MCh was paralleled by a reciprocal movement of eGFP-PKCepsilon,|#main_body|GO:1903955|positive regulation of protein targeting to mitochondrion|#go_definition|NONE|GOA|Chrm1(25229)|#gene_synonym
17908240_32|17908240|41645|#section_info|0:0|Indeed, MARCKS translocation in response to MCh was paralleled by a reciprocal movement of eGFP-PKCepsilon,|#main_body|GO:1900485|positive regulation of protein targeting to vacuolar membrane|#go_definition|NONE|GOA|Chrm1(25229)|#gene_synonym
17908240_33|17908240|41645|#section_info|0:0|In hippocampal neurons the M1 mACh receptor stimulates robust IP3/diacyglycerol accumulation, but only limited and transient intracellular Ca2+ signals.|#main_body|GO:0032957|inositol trisphosphate metabolic process|#go_definition|NONE|GOA|Chrm1(25229)|#gene_synonym
17908240_34|17908240|46724|#section_info|0:0|We have also shown that increased synaptic activity in hippocampal neurons results in a Ca2+-dependent enhancement of M1 mACh receptor-mediated PLC activity and increased Ca2+ store release (Nash et al. 2004).|#main_body|GO:0007036|vacuolar calcium ion homeostasis|#go_definition|TAS|GOA|Chrm1(25229)|#gene_synonym
